epoch,gen_loss,disc_loss,psnr,ssim,lpips,dists
1,0.101990804,13.717309,3.8333428,0.0015701541,1.094776762429104,0.7494118085471533
2,0.1252836,1.0521433e-05,3.474211,0.004606975,0.9635605363435643,0.6618948469879806
3,0.10946136,2.2127053e-05,2.4739723,0.011429283,0.9539391744521356,0.6004186477712405
4,0.12424471,2.038538,1.7154536,0.0042839414,0.9860751795512374,0.5999384650620081
5,0.11426036,1.868487e-09,2.8447127,0.0053313654,0.9718394042343221,0.561883968691672
6,0.107958674,17.342922,3.5351045,0.0062254043,0.9329795965584375,0.558612891422805
7,0.10829581,0.0010004088,3.9196396,0.020122813,0.8723509600085597,0.5342018162050555
8,0.116446786,11.620143,4.339374,0.023966946,0.8479825206982192,0.5253892995977915
9,0.14216352,6.8414284e-15,5.0179896,0.021781582,0.8386159558450023,0.520112060090547
10,0.10899988,2.5821942e-10,4.7878375,0.023928396,0.8106530372814466,0.5221767476809922
11,0.08158241,4.150498,4.6312013,0.030186972,0.8141056529937252,0.5199548422649343
12,0.12226288,1.9827435,5.2887697,0.020756984,0.8242409107505634,0.5026513306043481
13,0.08294378,2.905229e-07,5.2825985,0.018276922,0.7818467815717062,0.47326863324770363
14,0.08555755,0.01675573,5.679074,0.029893275,0.701597140681359,0.4440039075830931
15,0.121613994,1.9601662e-18,5.3099833,0.02499955,0.7115361472611786,0.46706928489028765
16,0.08759068,6.010874e-06,6.1664443,0.040691655,0.6769010802750947,0.43627493099499776
17,0.07117506,1.7312417e-05,6.0802994,0.049154285,0.6343524129159989,0.4329060226358393
18,0.08306457,1.3229075e-06,5.6317196,0.04501604,0.650099173027982,0.4480882511344007
19,0.102871284,1.6766108e-10,5.865283,0.04271572,0.6355682944738736,0.4225405191862455
20,0.09263912,4.263665e-06,6.211105,0.047366146,0.6282088448924403,0.44919337893045075
21,0.08502439,0.009707987,6.6514225,0.054061018,0.6256790872543089,0.44754097025881534
22,0.06682166,4.0616856,6.393848,0.05648735,0.621121459750719,0.4681386569494842
23,0.10538373,2.407148e-19,6.984441,0.07069777,0.6196005395663682,0.41060666820054414
24,0.106218316,1.694241e-12,6.987842,0.07574672,0.5728998610409357,0.4047930843086653
25,0.09263477,1.1178237e-07,7.10218,0.08406245,0.5561522476134761,0.3738330115554153
26,0.12501748,2.5871041e-17,7.4508266,0.08738054,0.5517985090132682,0.37691247335044287
27,0.16423015,1.1405657e-35,6.383234,0.06770655,0.5719614868522972,0.4244508589467695
28,0.119606,0.00029759112,7.5553217,0.09832827,0.5501777472034577,0.36801271925690354
29,0.08058724,6.427139,7.4749546,0.09560233,0.5420597733989838,0.3764115629657622
30,0.08881074,3.2143063e-05,7.476114,0.08951377,0.5441109137509459,0.38235944958143336
31,0.08043268,7.118753e-05,7.4159794,0.08235141,0.5400500964092952,0.39070854968922114
32,0.073082164,4.567659e-08,7.921165,0.089088984,0.5467892699344183,0.3758475908669092
33,0.11747788,7.5393397e-10,8.134754,0.09474741,0.5378761551072521,0.3724006843823259
34,0.08770163,8.7354266e-07,7.946575,0.08930452,0.5408198791806416,0.3768048324892598
35,0.102877215,2.6683963e-19,7.89059,0.08758761,0.5258583131656852,0.37627300716215567
36,0.106099315,3.840815e-14,8.115543,0.096191905,0.5219943802202901,0.37007346717260214
37,0.10312797,1.5964648e-09,7.777295,0.08675992,0.5328363529456559,0.38179719383998584
38,0.09089016,1.4129964e-05,8.111327,0.0931402,0.5253028619673944,0.3682015371578996
39,0.08171485,3.8139967e-11,7.846549,0.082161404,0.5322808793155096,0.3794925731997336
40,0.096260495,3.9811588e-11,8.136889,0.09579605,0.5286156121761568,0.3654236819154473
41,0.06573949,0.0002939132,8.217736,0.091375194,0.5239598600454228,0.36519989146981185
42,0.10543225,3.2301415e-14,8.318064,0.0921506,0.5234898460167711,0.3656035700151997
43,0.0736841,6.8340894e-05,8.48043,0.09605765,0.5223199145127368,0.36357446703859553
44,0.09289362,2.462278e-10,8.376467,0.09415686,0.5266631325726868,0.37244345872632917
45,0.07392558,2.4594796e-08,8.434551,0.0935443,0.5282206327043554,0.3627061087598083
46,0.079980165,5.498684e-13,8.457879,0.0958046,0.5215034907863986,0.3649071878002536
47,0.2762069,0.00014546426,8.674027,0.1041505,0.5189985261168532,0.3502746000084826
48,0.05909086,0.3073047,8.4880905,0.09923243,0.5259984782947007,0.35595407665416756
49,0.08797096,1.0286095e-11,8.626919,0.10451396,0.5219694722083307,0.35762808848452826
50,0.087931305,3.3262757e-14,8.535885,0.105851546,0.5200190524901113,0.35219722793948266
51,0.06516088,0.4897118,8.468359,0.10031308,0.5200259496447861,0.3568545310728012
52,0.166709,5.8013566e-36,8.567362,0.10135138,0.5225708769854679,0.35833532387210476
53,0.073185444,3.1619456e-06,8.530643,0.100084856,0.5237878141223743,0.35642998577446067
54,0.07779014,0.17844738,8.485681,0.09652944,0.5231062494298463,0.3587943418051607
55,0.12979347,7.6468197e-16,8.515052,0.098030336,0.5253760273097664,0.3543161076884116
56,0.0683345,6.182513e-07,8.564987,0.09986217,0.5203144467005165,0.35519710856099285
57,0.06934428,0.0032651504,8.491228,0.102432586,0.5157702526738567,0.35853659017111666
58,0.09921226,9.33759e-20,8.647223,0.10441298,0.5157960461032006,0.3501242604306949
59,0.3129297,23.440681,8.702468,0.105019465,0.5144011881402744,0.34827373425165814
60,0.049166147,0.07013081,8.657086,0.10319442,0.516219973564148,0.3469982877854378
61,0.08712056,2.7172114e-17,8.724288,0.10904387,0.5132600485637624,0.3409056612240371
62,0.06363954,0.0007022316,8.697887,0.10952855,0.5090082018606125,0.33812866544210785
63,0.0628994,8.696257e-07,8.725958,0.10925489,0.5061699014197114,0.33916478708226194
64,0.039983682,0.47077847,8.743664,0.11115726,0.5020332704949123,0.33367361560944586
65,0.08356163,3.7445884e-06,8.580429,0.106466405,0.5023188751230958,0.33990756029723795
66,0.04666917,1.3512053,8.616367,0.109223045,0.5047800646674249,0.3374563224854008
67,0.06551003,1.2609187e-08,8.719375,0.11334284,0.4960021799610507,0.3356836438179016
68,0.11150614,3.7827404e-29,8.784172,0.114480585,0.4939623318051779,0.33218233623812277
69,0.06525486,4.716199e-05,8.761787,0.11451819,0.49166471855614774,0.3264389076540547
