epoch,gen_loss,disc_loss,psnr,ssim,lpips,dists
1,0.15603185,5.27E-14,2.80035,0.000405981,1.010238989,0.755186542
2,0.16030404,2.03E-25,0.5865627,0.000581063,0.972061607,0.767950368
3,0.13809368,7.80E-13,0.5756967,0.000583391,0.991984164,0.736624195
4,0.17235485,0.96078,0.4189306,0.002113111,0.925526409,0.731920533
5,0.26539004,1.75E-08,-0.2252867,-0.002315651,0.992575285,0.700829189
6,0.112967655,1.70E-11,-0.4648526,0.005764023,0.878490749,0.595286943
7,0.14729762,8.50E-13,-1.0098368,-3.82E-05,0.93844372,0.633540492
8,0.13898513,4.192045,-1.0555137,-0.004651247,0.955383742,0.649810796
9,0.13449802,6.27E-11,-0.12028708,0.003058756,1.042342048,0.635209883
10,0.13495404,1.79E-09,1.9081699,0.005977016,0.825747745,0.559294613
11,0.10478784,10.935339,2.1243334,0.015646368,0.872499042,0.542014096
12,0.11643034,5.47E-07,2.7035694,0.015265752,0.866859522,0.537600095
13,0.14674187,1.67E-10,0.6100788,0.00269226,0.818979179,0.573490244
14,0.09959075,0.19295484,1.7532995,0.007838275,0.793111061,0.539363694
15,0.095605545,9.26E-06,2.6714425,0.008066149,0.779457595,0.506311228
16,0.098782495,7.08E-06,5.085139,0.020763798,0.833552317,0.498160985
17,0.092543654,0.00338759,5.251426,0.014749703,0.801117047,0.517067876
18,0.07689679,0.58220327,5.1559973,0.018528331,0.772223733,0.479063381
19,0.084046066,0.006435037,5.0825505,0.018259462,0.727314227,0.462415425
20,0.14131738,2.832747,6.4860773,0.041959964,0.677935643,0.427758219
21,0.10034754,1.38E-09,7.4157352,0.055532746,0.654850532,0.423805403
22,0.092833415,1.1839794,8.27871,0.081588715,0.62097521,0.393457702
23,0.10608092,2.43E-05,7.959546,0.06684281,0.605094519,0.419487992
24,0.124395415,0.000438424,8.124858,0.078117095,0.559513467,0.393047549
25,0.086415604,1.98E-11,8.712785,0.109001026,0.525597232,0.372592512
26,0.1142831,0.8275979,8.73663,0.12255638,0.501435878,0.349546295
27,0.08555193,2.11E-05,9.2666025,0.14108028,0.483849591,0.342020639
28,0.09029071,3.88E-12,8.88172,0.13317801,0.472675983,0.347127836
29,0.08568806,7.60E-06,8.558864,0.124595486,0.465447726,0.346708812
30,0.1385511,1.93E-19,9.033827,0.1404887,0.459938393,0.33853676
31,0.1746617,1.39E-33,9.494618,0.16265704,0.452664891,0.31888229
32,0.10025689,1.83E-05,9.741564,0.17732875,0.450275597,0.314228747
33,0.109536864,5.03E-25,9.826054,0.18454076,0.458268771,0.315565464
34,0.0970348,7.09E-20,10.065515,0.19921656,0.464002595,0.311554097
35,0.08928404,8.66E-10,9.881475,0.18159835,0.464454608,0.318986361
36,0.24813217,28.272898,9.266458,0.15906842,0.451892923,0.340701853
37,0.10786774,3.79E-19,10.052525,0.18540438,0.434549586,0.317974501
38,0.07779212,3.3186154,9.665529,0.17050551,0.437138613,0.342629776
39,0.085531086,2.34E-10,9.853422,0.18005884,0.445342981,0.346121036
