epoch,gen_loss,disc_loss,psnr,ssim,lpips,dists
1,0.15603185,5.2689654e-14,2.80035,0.00040598083,1.0102389890660521,0.7551865417470214
2,0.16030404,2.0343825e-25,0.5865627,0.0005810633,0.972061607145494,0.7679503675430052
3,0.13809368,7.8021e-13,0.5756967,0.00058339123,0.9919841642020851,0.7366241953706228
4,0.17235485,0.96078,0.4189306,0.0021131109,0.9255264093798976,0.7319205332827824
5,0.26539004,1.7463089e-08,-0.2252867,-0.002315651,0.9925752846143578,0.7008291886698815
6,0.112967655,1.7008112e-11,-0.4648526,0.0057640225,0.8784907485849114,0.5952869429383226
7,0.14729762,8.496646e-13,-1.0098368,-3.819257e-05,0.9384437203407288,0.6335404919039819
8,0.13898513,4.192045,-1.0555137,-0.0046512466,0.9553837417274393,0.6498107955019962
9,0.13449802,6.271418e-11,-0.12028708,0.0030587555,1.042342048178437,0.6352098834130072
10,0.13495404,1.7886485e-09,1.9081699,0.0059770155,0.8257477450114424,0.5592946128178669
11,0.10478784,10.935339,2.1243334,0.015646368,0.8724990416598576,0.5420140957319608
12,0.11643034,5.46584e-07,2.7035694,0.015265752,0.8668595219171176,0.5376000949131545
13,0.14674187,1.6687457e-10,0.6100788,0.0026922603,0.8189791787055231,0.5734902440860707
14,0.09959075,0.19295484,1.7532995,0.007838275,0.7931110608962274,0.5393636938064329
15,0.095605545,9.262564e-06,2.6714425,0.008066149,0.779457595399631,0.5063112281983898
16,0.098782495,7.084313e-06,5.085139,0.020763798,0.8335523169527772,0.49816098520832675
17,0.092543654,0.0033875902,5.251426,0.014749703,0.8011170465459105,0.5170678759133944
18,0.07689679,0.58220327,5.1559973,0.018528331,0.7722237334456495,0.47906338079001315
19,0.084046066,0.006435037,5.0825505,0.018259462,0.7273142273708056,0.4624154253672528
20,0.14131738,2.832747,6.4860773,0.041959964,0.6779356432217424,0.4277582194215508
21,0.10034754,1.3832983e-09,7.4157352,0.055532746,0.6548505316498459,0.42380540345304757
22,0.092833415,1.1839794,8.27871,0.081588715,0.6209752098206551,0.3934577017702082
23,0.10608092,2.4320452e-05,7.959546,0.06684281,0.605094519353682,0.41948799228155487
24,0.124395415,0.0004384235,8.124858,0.078117095,0.5595134669734586,0.3930475493913056
25,0.086415604,1.9803234e-11,8.712785,0.109001026,0.5255972323238208,0.372592511997428
26,0.1142831,0.8275979,8.73663,0.12255638,0.5014358781358247,0.3495462953403432
27,0.08555193,2.1060983e-05,9.2666025,0.14108028,0.4838495914654065,0.3420206385274087
