epoch,gen_loss,disc_loss,psnr,ssim,lpips,dists
1,0.20275196,2.27E-28,2.898427,1.50E-05,1.000745052,0.764098098
2,0.23458953,2.77E-14,0.41342273,0.001337112,0.997418475,0.724854945
3,0.13470387,3.40E-19,-0.45888454,0.000303217,0.971204123,0.750821514
4,0.58507067,3.65E-25,-0.56805956,0.000471215,0.907594291,0.724536696
5,0.11503861,2.34E-08,-0.711596,-2.62E-05,0.961169029,0.739760889
6,0.52815396,0.40645373,-0.63946515,0.000730215,0.961339068,0.737632923
7,0.09829044,80.30205,-0.49152094,0.001301428,0.932401172,0.704849641
8,0.20588835,3.44E-26,-0.58244133,0.00227387,0.951551042,0.695396841
9,0.12877399,2.14E-05,-0.60934865,0.003281625,0.967224021,0.707407384
10,0.49064612,0,-0.5968278,0.002228274,0.955961212,0.696134813
11,0.16392381,0.045510974,-0.57265323,0.002106468,0.901953305,0.678165361
12,0.16577186,1.96E-18,-0.6614819,0.003308462,0.846734412,0.608814005
13,0.15712316,1.88E-11,-0.4165488,0.005043624,0.885421478,0.636999847
14,0.10337506,0.38217893,-0.5255926,0.004488456,0.897988483,0.646205179
15,0.18064713,1.86E-34,-0.71442616,0.004786898,0.88404859,0.651793652
16,0.3646995,0,-0.6905906,0.002009003,0.874590207,0.636421084
17,0.14342093,9.99E-20,-0.1058008,0.002976096,0.832804688,0.578883489
18,0.1539698,4.26E-19,0.51903236,0.001521765,0.83436749,0.551099925
19,0.16295686,4.00E-19,1.6677226,0.016314661,0.779669319,0.511867908
20,0.12151523,1.5395855,1.769494,0.020092953,0.764493023,0.532974185
21,0.11200364,23.246275,2.485777,0.012721021,0.783116739,0.555537094
22,0.12282825,7.02E-06,2.2031112,0.01375436,0.737828788,0.517616304
23,0.13299645,0.008237685,3.3946989,0.015052161,0.72987767,0.528023258
24,0.11235048,6.69E-08,3.107892,0.02856442,0.697604998,0.517589784
25,0.11921872,5.15E-07,3.265401,0.008785705,0.799295613,0.520788791
26,0.088128865,8.892161,3.769038,0.016558431,0.687949063,0.483735975
27,0.116607875,68.942444,2.6012757,0.009495568,0.671076113,0.486334358
28,0.14767899,19.833403,3.9612896,0.014621051,0.651054803,0.452508941
29,0.12600708,7.47E-05,4.163366,0.00894827,0.662100098,0.453357412
30,0.09993566,15.066163,4.6379223,0.014922516,0.65084964,0.423385542
31,0.12587158,0.035894845,5.0004606,0.029769884,0.614510955,0.397684987
32,0.0927736,0.016617948,5.156246,0.024014201,0.618808815,0.399285287
33,0.09605666,3.80E-05,5.3198466,0.020217128,0.632668735,0.415427601
34,0.090874575,0.001433364,5.5549717,0.025391381,0.55304362,0.383886533
35,0.08718878,7.5869527,6.2984834,0.035223246,0.518116803,0.355696365
36,0.06162459,5.211761,6.2314944,0.029956693,0.520765347,0.371877239
37,0.07532526,0.39984572,6.7214465,0.03546929,0.535783735,0.387587843
38,0.08164654,2.606608,7.0573864,0.039114755,0.543257578,0.380990046
39,0.09940866,0.001205249,6.9972706,0.036443688,0.536628775,0.358291685
40,0.08974999,5.3172297,7.564381,0.042600527,0.52504763,0.361145825
41,0.085021004,0.001625326,7.7896,0.049835235,0.51468584,0.361697471
42,0.080802694,0.21628964,7.912756,0.056049958,0.511142842,0.346589958
43,0.102777846,2.88E-09,8.001182,0.060068198,0.514108843,0.34659991
44,0.07524715,3.75E-06,8.279883,0.06872716,0.504663854,0.331377658
45,0.07691429,0.6204296,8.4180975,0.07480296,0.510422413,0.32429143
46,0.07061147,4.26E-07,8.557054,0.08049843,0.496807416,0.320819546
47,0.086642034,0.000824429,8.620617,0.086781174,0.479020888,0.320688319
48,0.06349192,0.000897714,8.884039,0.097568765,0.465113684,0.302152856
49,0.0562556,0.003261577,9.031419,0.107253,0.45947873,0.30307772
50,0.073964015,2.68E-06,9.190351,0.11564505,0.449688408,0.295494892
51,0.06671425,0.002156787,9.176156,0.1214325,0.443182814,0.298159269
52,0.095783375,20.339403,9.228527,0.1232838,0.437218237,0.288769836
53,0.053161427,0.000125732,9.565392,0.13695091,0.43252825,0.281014255
54,0.06658214,6.710335,9.482333,0.13680689,0.424276821,0.289371535
55,0.07783556,1.05E-06,9.613952,0.14138386,0.414596226,0.280958503
56,0.069345646,5.24E-06,9.629253,0.14464685,0.415257176,0.279988566
57,0.06509325,1.29E-06,9.648937,0.14673057,0.408333083,0.277756521
58,0.074395455,9.38E-05,9.6593075,0.14735842,0.404443485,0.277151345
59,0.06323576,8.15E-06,9.684226,0.1490581,0.399884995,0.277961969
60,0.08776364,0.000144062,9.800917,0.15412758,0.400944585,0.277999545
61,0.054966632,1.09E-05,9.747952,0.15299354,0.398372509,0.282103412
62,0.059541814,2.74E-07,9.746777,0.1532382,0.394725,0.280112579
63,0.03513988,3.2534795,9.6657915,0.15076935,0.393383335,0.291035018
64,0.06879799,2.07E-11,9.769668,0.15583982,0.390450228,0.278531358
65,0.051863283,0.000170065,9.832058,0.15782839,0.387764444,0.274674259
66,0.04082469,0.000659002,9.914899,0.16083585,0.385182841,0.274626472
67,0.048220884,3.55E-06,9.814614,0.15895891,0.386683934,0.271596859
68,0.05610949,0.000736488,9.836883,0.15982208,0.381307004,0.276049867
69,0.04314507,4.4282393,9.827749,0.1596739,0.378555914,0.284873614
70,0.0829456,1.74E-05,9.868448,0.16063648,0.376206369,0.276736497
71,0.04372472,0.001354404,9.853271,0.16238837,0.374726571,0.278496965
72,0.040529873,1.34E-05,9.90607,0.16242772,0.375215822,0.267934621
73,0.040643726,0.004884767,9.808989,0.16150753,0.375666512,0.277275533
74,0.04788531,0.00437738,9.9675665,0.1663322,0.370372915,0.26407727
75,0.046887547,1.0008255,9.948729,0.16664158,0.371645787,0.269107817
76,0.027440269,3.0895045,9.985779,0.16779192,0.37011852,0.266638983
77,0.039877273,0.000312832,10.082121,0.17214254,0.36538275,0.262496894
78,0.03812319,9.12E-06,10.084592,0.17180946,0.364672303,0.260950039
79,0.046751544,0.23515704,10.014565,0.1691166,0.364317438,0.266728217
80,0.037778035,4.47E-05,10.095786,0.17306152,0.362487528,0.260535816
81,0.031692214,0.002705351,10.013264,0.1712811,0.362261906,0.264472329
82,0.029686611,0.002070941,10.042424,0.17217621,0.359731776,0.260127257
83,0.035999477,3.61E-06,10.0949135,0.17400514,0.35616255,0.259766673
84,0.03885688,0.006492125,10.033924,0.17150049,0.357187092,0.262942377
85,0.03899321,0.000303658,10.021992,0.17160158,0.356750592,0.265368501
86,0.03274653,0.029580135,10.006984,0.17082724,0.356287507,0.265250489
87,0.03402987,0.010098676,10.067934,0.17387825,0.355218585,0.265589349
88,0.038113184,0.003941481,10.149907,0.17609197,0.35160856,0.257279316
89,0.04127309,0.79710835,10.151765,0.17663127,0.351002338,0.260588227
90,0.029002609,0.07859394,10.138896,0.17606004,0.34861869,0.25810174
91,0.020393778,4.9346037,10.158413,0.17663379,0.347671373,0.257360936
92,0.10119293,2.80E-18,10.143629,0.17689139,0.347169311,0.259889853
93,0.031929877,0.001445994,10.123548,0.17641158,0.348738704,0.262228234
94,0.0335926,0.018077575,10.154218,0.17808309,0.347045214,0.257248188
95,0.025143921,0.23163566,10.172474,0.17856044,0.344262661,0.260172379
96,0.018834835,1.6135584,10.129183,0.17883056,0.343007344,0.264011474
97,0.033692155,0.005101921,10.145105,0.17968826,0.340789847,0.263746521
98,0.040898696,9.43E-10,10.173147,0.17996283,0.338799719,0.261828594
99,0.085112445,1.05E-24,10.276117,0.18375458,0.337116586,0.251492726
100,0.029040566,9.39E-05,10.254352,0.18281524,0.33706916,0.253463227
101,0.026976593,0.001065513,10.189511,0.18160526,0.336629368,0.26228202
102,0.040566698,0.17226024,10.209489,0.1818984,0.336061001,0.259873506
103,0.028183393,0.002756292,10.2027645,0.18128486,0.336762774,0.257005438
104,0.015490298,3.6523829,10.261671,0.1833074,0.333837935,0.2546297
105,0.09351301,1.14E-11,10.267535,0.18330306,0.332875645,0.257344655
106,0.05752908,4.06E-13,10.175539,0.18190546,0.333907599,0.26503926
107,0.058103725,0.009211766,10.19794,0.18111278,0.334832102,0.253860925
108,0.04186617,0.74879616,10.18297,0.18285751,0.332267719,0.261546564
109,0.018850917,0.39414856,10.242211,0.18474188,0.33057023,0.255745612
110,0.03362055,2.8782737,10.259898,0.18553822,0.329260525,0.25057975
111,0.036543414,0.000189196,10.31567,0.18685389,0.326573225,0.251220217
112,0.028735444,1.96E-06,10.319413,0.18728927,0.326999077,0.251471047
113,0.01935442,0.078717016,10.284974,0.1863007,0.328205896,0.25328845
114,0.021489054,0.007398884,10.265185,0.18582639,0.325795157,0.251929406
115,0.039914533,0.25271147,10.356337,0.19001085,0.323991678,0.251953399
116,0.02217777,0.001250076,10.340824,0.19008856,0.32370306,0.254792181
117,0.035015255,0.001043677,10.354865,0.19025998,0.323204421,0.252160483
118,0.028102992,0.010339605,10.277705,0.18733662,0.325021475,0.257495988
119,0.03645052,0.000294323,10.260928,0.18674475,0.326122166,0.255792645
120,0.021539414,0.6229766,10.263357,0.18617816,0.326483936,0.25095527
121,0.03087274,0.002086442,10.215502,0.18393299,0.326258623,0.256380606
122,0.023889067,1.7635518,10.275364,0.1877267,0.325531835,0.25264024
123,0.095702864,7.20E-10,10.312076,0.18969755,0.322474781,0.249171323
124,0.050124228,3.92E-13,10.333602,0.19199339,0.320281292,0.250739689
125,0.048590638,1.28E-13,10.390015,0.1944887,0.318424844,0.249344885
126,0.020364113,0.002234755,10.428114,0.19751482,0.315944692,0.252230691
127,0.019627728,0.008752771,10.393545,0.1964979,0.317628213,0.253085274
128,0.01835543,0.00556916,10.444735,0.19947107,0.314802621,0.244796568
129,0.028546922,0.000317565,10.348621,0.19696927,0.315008634,0.256552775
130,0.03389989,0.011249539,10.3758955,0.1951508,0.315548562,0.250037896
131,0.024830002,0.007344484,10.404296,0.19697124,0.315547415,0.255004483
132,0.020031342,0.050240695,10.33945,0.19498192,0.317817516,0.256647887
133,0.022022203,0.002896089,10.393143,0.19690104,0.315970722,0.25378274
134,0.021125574,0.004289633,10.390069,0.19618323,0.315107471,0.249356632
135,0.014445712,0.7826464,10.36994,0.19664608,0.314736324,0.255207671
136,0.026642151,0.000235074,10.389048,0.1970362,0.315472767,0.251178363
137,0.059243765,1.60E-17,10.365075,0.19636035,0.317389916,0.252162289
138,0.01958017,0.01694048,10.345246,0.1952373,0.317800315,0.250494924
139,0.042017356,0.61144435,10.412229,0.19692817,0.315528404,0.251084674
140,0.027290879,9.38E-06,10.503253,0.2023636,0.310547173,0.25166671
141,0.03276519,9.10E-05,10.388551,0.20148739,0.310016856,0.257942221
142,0.022336975,0.012950067,10.437513,0.20307307,0.310982345,0.247811185
143,0.020263627,0.002432157,10.393873,0.20034812,0.311836955,0.249703309
144,0.022199783,0.003174607,10.366741,0.19967508,0.313741788,0.252351038
145,0.021453183,0.00197674,10.349295,0.19818357,0.31630526,0.250675722
146,0.026547631,0.000659839,10.36175,0.1983562,0.317467335,0.252421079
147,0.024721537,0.000184775,10.462551,0.20187236,0.31296628,0.247031569
148,0.016465181,0.20245664,10.485391,0.20300016,0.311008224,0.246575507
149,0.016684849,0.49521485,10.449487,0.20312665,0.309940569,0.24646822
150,0.04574578,0.77752846,10.61674,0.21245618,0.298852191,0.243649604
151,0.015097092,0.7495438,10.736815,0.2176232,0.2955829,0.240730815
152,0.029346246,9.00E-07,10.692638,0.21659237,0.297844397,0.242514337
153,0.014181877,0.10644565,10.655756,0.2162414,0.297851218,0.245147714
154,0.0223821,0.08560178,10.675361,0.21673743,0.299208102,0.240491813
155,0.039864227,3.26E-05,10.73214,0.21864797,0.297572969,0.239679869
156,0.036420353,0.25800344,10.745,0.21859829,0.297110152,0.242762302
157,0.019049656,2.6199706,10.61457,0.21569373,0.29817345,0.242747323
158,0.020761501,0.084058486,10.672008,0.21723704,0.297465596,0.240075911
159,0.023176372,0.011107533,10.812386,0.22283179,0.292890371,0.234319803
160,0.022913707,0.00229614,10.844189,0.22465727,0.290941409,0.234519566
