epoch,gen_loss,disc_loss,psnr,ssim,lpips,dists
1,0.09799276,1.1095946,4.351159,0.001206022,1.071046963,0.744116613
2,0.16872056,0.007686356,2.431984,0.000585815,1.05010581,0.73746411
3,0.1471139,5.79E-08,2.0832517,0.002801943,1.023364673,0.688886979
4,0.21476777,4.0689216,1.9960592,0.011450128,1.007777882,0.62742002
5,0.13800678,1.30E-08,1.4743348,0.02019679,0.880556919,0.569928501
6,0.23433433,1.21E-14,0.47076863,0.019769888,0.840469651,0.560094035
7,0.094727196,0.02867714,0.083776034,0.009201141,0.92879013,0.636996874
8,0.15869583,5.95E-14,-0.36633402,0.006504549,0.963363825,0.676455729
9,0.1627441,5.43E-20,0.094735414,0.00891828,0.933773675,0.639438305
10,0.16028593,8.62E-20,0.41092312,0.020984892,0.822746069,0.574573692
11,0.35679722,0,-0.031286865,0.012787459,0.902224845,0.605242814
12,0.17462163,1.87E-29,-0.3538176,0.006059439,0.948383377,0.680117943
13,0.16072571,2.27E-24,-0.4263925,0.005959374,1.005463191,0.716291269
14,0.2025331,1.61E-23,-0.44983268,0.002386198,0.959953024,0.699591551
15,0.2209706,5.48E-18,-0.4484884,0.002085754,0.99983197,0.650852749
16,0.15893471,1.89E-13,-0.32294682,0.000963917,1.013426692,0.662149579
17,0.18578182,1.96E-14,-0.18362103,0.000895516,0.997765854,0.668502833
18,0.17872119,5.98E-28,-0.010724682,0.000788929,1.006928535,0.649840152
19,0.24666247,0,-0.05722303,0.000666505,1.00713364,0.677952975
20,0.15527368,1.25E-22,-0.17880227,0.00109978,0.952306533,0.646035349
21,0.8731091,0,-0.58861446,0.001236431,0.883392419,0.673744257
22,0.67800903,0,-0.68351483,0.001079077,0.864279012,0.669902288
23,0.13160653,2.35E-16,-0.735887,0.000626247,0.935725277,0.697510505
24,0.12506288,1.63E-13,-0.85040367,0.000739429,0.927645101,0.719737205
25,0.17774373,3.00E-22,-0.7446089,0.000731758,0.927399665,0.719104355
26,0.22268121,2.51E-35,-0.29589766,0.001759254,0.930907006,0.70824222
27,0.36905807,0,0.30667135,-0.001286103,0.895584283,0.607323039
28,0.28260097,0,0.46854436,0.003641406,0.860204852,0.573907086
29,0.14463787,2.47E-17,0.42562324,0.005602866,0.869221501,0.590690555
30,0.15495948,5.92E-22,0.23650387,0.001973712,0.907436966,0.597560546
31,0.14914869,8.57E-07,0.033091042,0.001616932,0.916725111,0.611307868
32,0.11882899,5.47E-14,0.6428889,0.002355742,0.893201133,0.587643859
33,0.18498053,2.25E-37,0.6937251,0.00239795,0.875615859,0.606165236
34,0.105361395,0.002575632,0.81962144,0.001943812,0.862068815,0.616159545
35,0.101674266,2.06E-05,0.9293199,0.001637145,0.861510489,0.60796433
36,0.1123673,2.01E-08,0.94692886,0.001736746,0.86662687,0.605505199
37,0.14631733,9.30E-25,0.8787737,0.002236608,0.863557109,0.59989275
38,0.12792034,1.50E-12,0.8347958,0.002432162,0.852890051,0.592672704
39,0.10221529,3.50E-05,0.8456091,0.00241025,0.845688314,0.587326748
40,0.09766435,5.44E-09,0.8272277,0.00274975,0.835042151,0.580835447
41,0.103837,2.35E-05,0.8106661,0.003237031,0.834609243,0.577116639
42,0.15766558,5.17E-28,-0.034905165,0.001848607,0.948806424,0.630981074
43,0.13283901,3.92E-13,-0.039402332,0.000424765,1.018212441,0.729071103
44,0.1819194,4.53E-24,0.23996799,0.000297149,0.999073102,0.740190525
45,0.13530926,1.05E-18,0.48891297,0.000635142,0.978812102,0.692048066
46,0.09016046,0.000237995,0.4883218,0.000903318,0.909063333,0.656739295
47,0.18202487,3.92E-09,0.041594114,0.002548062,0.866302698,0.617041879
48,0.18741877,1.02E-30,1.0341568,0.003270209,0.881318875,0.568254414
49,0.20356873,0,0.48278555,0.005484457,0.805809232,0.560636875
50,0.19306654,6.25E-37,0.8900756,0.005979047,0.829622587,0.554175063
51,0.17229933,5.98E-29,0.9069759,0.0037082,0.802496552,0.539521374
52,0.16276741,3.85E-31,0.7510992,0.005161405,0.752687811,0.522762657
53,0.15816139,3.70E-10,1.3066059,-0.001473085,0.787970171,0.538624216
54,0.1236649,1.37E-10,1.9536192,0.002933614,0.709840844,0.508636087
55,0.1097192,0.000228325,3.3379307,0.005064324,0.749532278,0.515722558
56,0.08999035,42.397415,2.9662473,0.006167679,0.761880434,0.498320157
57,0.09094848,0.038089693,2.631684,0.003175804,0.725711368,0.480295525
