epoch,gen_loss,disc_loss,psnr,ssim
1,0.1454933,0.12655744,3.312886,0.00070608425
2,0.09938105,8.527682,1.561686,0.0008320854
3,0.11782645,0.00060677325,0.2482595,0.0040154904
4,0.14071193,5.668837e-14,-0.1750562,0.0029907175
5,0.1823987,1.5589878000000002e-26,-0.054450855,0.006551417
6,0.14636692,5.1178127e-14,0.03210627,0.0034370301
7,0.17194223,7.375845e-16,0.5125334,0.013277441
8,0.17327946,1.5752294e-19,-0.3784935,0.011903978
9,0.31520283,2.252948e-17,-0.122314185,0.011997022
10,0.45054936,0.0,0.31516808,0.016409252
11,0.3379392,5.414853e-12,-0.02081356,0.010233785
12,0.22511873,0.0,-0.3844691,0.0044295024
13,0.13976257,2.569202e-16,-0.49393737,0.0017116092
14,0.4757173,1.8847720999999998e-25,-0.4980231,0.0016626933
15,0.16726184,4.865701e-22,-0.30272764,0.0011660072
16,0.14869028,3.6901664e-13,0.7164575,0.0024311037
17,0.16688311,3.7515781999999997e-25,1.2513394,0.0011341396
18,0.18613781,3.8269184e-38,1.1593802,0.008439619
19,0.16838777,4.050701e-18,1.5943034,-0.00067797647
20,0.14569733,7.5915864e-11,2.1007295,0.003523034
21,0.13108794,1.8574883e-10,2.0522559,0.013834255
22,0.12391622,4.3641553e-09,2.7822978,0.022702318
23,0.10214969,0.14496613,3.0513678,0.026125722
24,0.08250831,19.138504,2.443058,0.012578109
25,0.1501106,5.5266486e-15,3.5338938,0.01666702
26,0.18161364,34.97668,4.152097,0.018035935
27,0.14977549,4.4148583,4.176493,0.03787029
28,0.20748135,6.9991615e-06,4.541371,0.029694604
29,0.11213353,1.507695e-12,4.8667555,0.03285307
30,0.08881588,0.0040219203,4.52305,0.03240529
31,0.11082801,4.817336e-09,4.381685,0.034622446
32,0.103925444,1.6243848e-05,5.4221807,0.030066919
33,0.07822112,0.12153291,5.58544,0.027373003
34,0.09885807,0.0022821517,5.9393854,0.03166155
35,0.08415559,3.200216e-11,6.925453,0.04959835
36,0.11444408,8.458697,7.2268715,0.05872517
37,0.07894893,0.26432878,7.3303814,0.060632225
38,0.072221585,1.719705e-05,7.6060567,0.059119374
