epoch,gen_loss,disc_loss,psnr,ssim
1,0.1663025,1.1250147e-11,3.2822626,0.00038544598
2,0.11924348,3.3799705e-07,2.6827164,-0.00087008346
3,0.17201543,3.7063617e-23,2.935997,0.0024509062
4,0.13391772,3.9890796e-11,2.7831354,0.0067224964
5,0.10170714,30.0893,3.0227149,0.011146722
6,0.09586847,1.3026798,3.4188023,0.009309455
7,0.089344464,0.088133745,2.832244,0.01671551
8,0.10921752,0.00029646192,3.385915,0.02199881
9,0.16506141,2.6201624e-06,3.064091,0.01672982
10,0.11182709,6.381654e-13,3.0264597,0.017000563
11,0.09995564,4.2524914e-10,1.4256117,0.016669933
12,0.13236557,4.8887108e-09,2.1594672,0.030151116
13,0.1264602,5.954378e-14,3.2633517,0.029422138
14,0.11068973,7.356994e-08,3.7503252,0.026378851
15,0.09206832,1.4994647e-10,4.063867,0.02183793
16,0.083198376,6.074487,4.568951,0.027485672
17,0.0891477,0.0062576784,4.343883,0.03245104
18,0.085127905,0.0004248924,5.0749116,0.04316826
19,0.16418087,0.0,5.254941,0.049973965
20,0.110863626,0.6266079,5.4916205,0.052958407
21,0.07899805,0.0018301519,6.1268125,0.0932557
22,0.12807056,7.6840964e-25,5.838382,0.07613644
23,0.08438947,0.30663383,6.6817074,0.09926352
24,0.1107061,1.5739113e-11,6.5045514,0.08117476
25,0.07634388,5.2087765,7.2709703,0.11119175
26,0.10590993,1.6552426e-18,7.3473926,0.11194407
27,0.10888145,1.334635,7.5409718,0.12224815
28,0.059631918,1.1315501,7.6000314,0.1271339
29,0.12390931,1.4513125e-20,7.4669995,0.1429808
30,0.066990905,5.048395,7.9480557,0.15666105
31,0.0859927,4.5564377e-10,7.8432918,0.15425202
32,0.091347426,1.0450709e-06,7.8991227,0.15995093
33,0.06021705,0.0011714306,8.308856,0.16368508
34,0.23097202,0.0,8.482723,0.15509683
35,0.121486396,2.6607378e-11,8.612762,0.15049314
36,0.07055712,2.2175247e-07,8.7432785,0.15458901
