epoch,gen_loss,disc_loss,psnr,ssim
1,0.11457948,0.000441322,3.3877082,0.000608153
2,0.120928206,5.62E-07,0.84541583,0.000282578
3,0.096911035,5.278506,0.36563262,0.003382256
4,0.10922387,0.030651353,-0.5058864,-0.001042485
5,0.14346115,0.006553746,0.046210144,0.006572637
1,0.188475072,15.18447876,2.093568563,0.001574962
2,0.102971449,7.524164677,0.756879747,0.002248577
3,0.096812546,0.116401151,1.15919435,0.002444069
4,0.13634932,3.59E-17,0.509662747,0.000328864
5,0.097564042,0.029205134,0.998636127,0.006098413
6,0.093893856,1.672721267,0.950563014,0.002469807
7,0.150418088,1.26E-18,2.324803591,0.008022772
8,0.09662956,0.007053325,2.39086771,0.017660623
9,0.114502072,1.53E-06,1.974497914,0.029179765
10,0.116241924,3.45E-05,4.063563347,0.036043219
11,0.104066998,2.11E-10,4.458272457,0.034759536
12,0.105074607,2.242747307,3.53943944,0.05434373
13,0.131335229,23.84626961,3.790660143,0.038888808
14,0.114107981,1.32E-08,4.450828075,0.036839351
15,0.092386164,1.39E-05,5.72091198,0.048359435
16,0.111624032,2.79E-09,6.234237194,0.052793276
17,0.109469295,4.51E-06,5.261223316,0.020429652
18,0.106333941,1.70E-05,5.132234097,0.017194182
19,0.092468306,5.82E-06,5.648512363,0.023655025
20,0.102075674,0.357955962,5.65141201,0.025264543
21,0.11422915,2.22E-16,6.537186623,0.049228109
22,0.09518183,0.002885235,8.208650589,0.09534286
23,0.107579932,1.005329132,8.902222633,0.12552242
24,0.104854263,1.04E-10,9.44849205,0.151239827
25,0.071874961,1.488806963,8.691224098,0.138800606
26,0.09384162,1.51E-11,8.091285706,0.11127837
27,0.069565915,0.008297769,9.37197113,0.162909418
28,0.063125044,7.970583439,10.08519745,0.20021911
29,0.082986347,0.05035457,9.566756248,0.183214098
30,0.0859676,5.43E-10,10.0017643,0.198513344
31,0.051807202,0.684906483,9.597137451,0.188149661
32,0.107987061,14.02214718,9.63262558,0.17782709
33,0.079004899,0.010786613,10.21452618,0.201915309
34,0.08738061,7.95E-09,10.43971634,0.2051723
35,0.080983646,0.002638649,10.18952751,0.203590944
36,0.071232975,2.799454689,9.840511322,0.198558599
37,0.106379338,0.060689282,9.748710632,0.179586694
38,0.060433015,0.000122451,9.787866592,0.173675358
39,0.071033835,0.044217274,9.703453064,0.168201834
40,0.089105166,1.36E-05,9.182688713,0.15542601
41,0.121030748,5.51E-14,8.619894028,0.133257359
42,0.058537912,0.000141301,9.101382256,0.147474959
43,0.075106449,1.80E-09,8.650220871,0.120645493
44,0.049832568,7.527040005,8.533139229,0.112404242
45,0.07319966,0.004209363,8.704859734,0.1213708
46,0.073403701,7.08E-05,9.275372505,0.15115875
47,0.06303148,0.420759201,10.48838902,0.198181689
48,0.054688253,0.000453718,10.43317223,0.197071254
49,0.052789167,0.228230625,10.04487038,0.183413371
50,0.102820665,9.12E-23,10.4379034,0.196229011
51,0.077779725,1.84E-13,10.44020748,0.191299975
52,0.363040835,0.000541755,10.29676723,0.18769145
53,0.079681031,2.91E-09,10.07783985,0.186123505
54,0.075595662,8.40E-14,10.29086304,0.195674509
55,0.053565215,0.001124035,10.31346226,0.19578439
56,0.070184566,3.51E-13,10.2501545,0.194812194
57,0.126869366,3.33E-28,10.2108736,0.195421174
58,0.078540266,7.58E-16,10.53133583,0.203392342
59,0.090622731,1.17E-21,10.33603096,0.194942594
60,0.043789372,19.29479218,10.44091892,0.199085087
61,0.047907364,0.000657556,10.37444305,0.200885221
62,0.081582546,2.24E-17,10.30416012,0.1950562
63,0.080906734,3.13E-10,10.22784901,0.191315725
64,0.06286107,3.21E-09,10.1623764,0.190502614
65,0.086908378,0.019865662,10.2831316,0.195340633
66,0.052707992,0.01026541,10.12045956,0.188023254
67,0.090702996,0.001111794,10.32393932,0.196378127
68,0.053982791,2.98E-06,10.20736217,0.191564843
69,0.077036336,3.64E-10,10.07709503,0.188522026
70,0.052060377,2.42E-05,10.28819847,0.194815516
71,0.035157554,6.560989857,10.46381569,0.199963868
72,0.195668727,0,10.46312141,0.201372728
73,0.136002362,0,10.49901295,0.204044819
74,0.119497083,2.70E-21,10.49561405,0.202708319
75,0.075960778,4.19E-08,10.66507626,0.207388505
76,0.05729188,0.036537256,10.76727676,0.210847378
77,0.047085911,7.46E-06,10.58876133,0.205738991
78,0.145044565,1.25E-20,10.57884693,0.207125708
79,0.040287301,0.000400034,10.66361713,0.210038304
80,0.059890527,0.051247682,10.73770809,0.21288763
81,0.042516623,5.63E-06,10.73509979,0.213039547
82,0.040254246,3.80E-05,10.67387104,0.210995257
83,0.121403739,6.05E-33,10.68949795,0.211076349
84,0.039898977,1.19E-05,10.74855709,0.212817162
85,0.044925988,0.000123051,10.75715351,0.214286625
86,0.0352934,8.92E-06,10.73276901,0.213212043
87,0.051509973,5.71E-06,10.74112988,0.214228556
88,0.027953593,3.615691662,10.75554276,0.214578971
89,0.096137911,1.87E-13,10.88806248,0.22075592
90,0.056971457,0.00161427,10.79271889,0.218983576
91,0.047596794,0.000161172,10.83965302,0.220181718
92,0.032932263,0.00168196,10.73474407,0.2173329
93,0.030449934,0.00583991,10.83421993,0.220689058
94,0.047490638,1.094022393,10.76796055,0.218211144
95,0.106427804,1.461360574,10.8642168,0.221600085
96,0.111246884,5.04E-22,10.91975784,0.22369419
97,0.108030729,1.96E-33,10.82562923,0.219738752
98,0.036722574,1.31E-05,10.93079948,0.224252969
99,0.055469431,1.66E-12,10.92974377,0.223510742
100,0.072177947,1.36E-18,10.71139908,0.216831654
101,0.044461451,1.42E-06,10.74389362,0.218869627
102,0.043844286,0.173627198,10.69818401,0.217378408
103,0.048164308,4.69E-05,10.64131451,0.214906409
104,0.050127111,0.007786063,10.83584404,0.220530137
105,0.032665178,0.071453214,10.89724636,0.222769424
106,0.035800908,9.97E-06,10.9550333,0.225207031
107,0.032749049,0.000184861,10.92176437,0.223747671
108,0.131561875,2.28E-23,10.93285275,0.22459276
109,0.0317991,0.001728794,10.87623978,0.222680792
110,0.025319148,0.000928534,10.82106972,0.22031635
111,0.034320679,0.000502151,10.7414608,0.218692005
112,0.033894043,0.000133205,10.7086792,0.217300624
113,0.040163472,0.023925081,10.71116543,0.21672523
114,0.029727681,0.005527057,10.73460388,0.217302069
115,0.020352257,0.038508303,10.77075386,0.220515072
116,0.020891858,0.057374358,10.91451359,0.226801306
117,0.022988733,0.014985083,10.90384388,0.227705553
118,0.022019651,0.021988142,10.80546284,0.224163875
119,0.024747899,0.014627873,10.60660553,0.218539685
120,0.032446921,0.003644922,10.44060993,0.216470942
121,0.045665964,3.66E-10,10.38768101,0.216444269
122,0.031101791,0.001113552,10.39033127,0.216205552
123,0.043076623,2.94E-09,10.43863106,0.215604782
124,0.033486061,2.61E-06,10.58602333,0.218351081
125,0.126485169,6.639465809,10.85811615,0.226015538
126,0.025541075,0.04419218,10.91953182,0.230831474
127,0.106844574,8.28E-16,10.9689064,0.234183162
128,0.026373103,5.03E-05,10.97396469,0.236259907
129,0.035371251,1.31E-06,10.99209118,0.238229752
130,0.051981583,1.54E-08,10.91931248,0.235826716
131,0.063798636,1.20E-12,10.86954784,0.231729895
132,0.033733144,9.02E-06,10.94648552,0.232938766
133,0.033143997,6.02E-09,11.00918484,0.236884862
134,0.048336394,0.153371423,11.00741196,0.23803857
135,0.026381694,1.76E-06,11.01630211,0.238607019
136,0.030416794,0.019906849,11.02516365,0.238410935
137,0.019262455,0.002146411,10.99412918,0.236022115
138,0.024953039,0.013688891,11.02771282,0.238767892
139,0.020782702,0.000336926,11.06799889,0.241645858
140,0.019915329,0.004144541,11.03673935,0.240556717
141,0.068307325,1.21E-17,10.99435425,0.238757879
142,0.017684007,0.003457319,11.0430851,0.240958944
143,0.016510554,0.003277024,11.01770782,0.238463312
144,0.017004218,0.010663065,11.01267529,0.23895444
145,0.018590117,0.04061747,11.05642033,0.24088341
146,0.023769237,0.004889661,11.05699062,0.241630882
147,0.017956961,0.067035928,10.95534325,0.235783994
148,0.020628508,0.005420725,11.00807858,0.238480061
149,0.022695389,0.000599515,11.01644897,0.237876415
150,0.026227802,0.000286448,10.96794319,0.23523353
151,0.024297655,0.000548742,10.93229866,0.233422622
152,0.018447507,0.000834911,10.8715477,0.230830565
153,0.019744726,0.005394039,10.80678654,0.22802031
154,0.021477692,0.002806233,10.74700832,0.225000173
155,0.026701178,0.000680068,10.69441223,0.22259739
156,0.028819572,1.29E-05,10.6214838,0.220020786
157,0.021633318,0.037838027,10.59899426,0.220677122
158,0.018027555,0.049530804,10.82511806,0.228844687
